ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
6.856461985,0,0,0,55,3025,1,1,RRD,70
6.907755279,0,0,0,33,1089,0,1,RRD,42
6.907755279,0,0,0,31,961,0,1,RRD,42
8.699514748,0,0,0,12,144,1,1,RRD,33
8.853665428,0,0,0,37,1369,1,0,RRD,55
8.517193191,1,0,0,29,841,0,1,RRD,51
8.517193191,1,0,0,30,900,0,1,RRD,52
8.29404964,0,0,0,28,784,1,1,RRD,46
8.29404964,0,0,0,28,784,1,1,RRD,46
8.612503371,1,1,1,37,1369,0,1,RRD,59
8.612503371,1,1,1,37,1369,0,1,RRD,59
8.699514748,0,0,0,26,676,1,1,RRD,41
9.047821442,0,0,0,30,900,0,1,RRD,48
8.987196821,0,1,0,24,576,1,1,RRD,44
8.987196821,0,1,0,24,576,1,1,RRD,45
8.517193191,0,0,0,14,196,0,0,RRD,32
8.517193191,0,0,0,14,196,0,0,RRD,32
8.411832676,0,0,0,8,64,1,1,RRD,26
8.411832676,0,0,0,9,81,1,1,RRD,27
8.411832676,0,0,0,2,4,1,0,RRD,20
8.411832676,0,0,0,3,9,1,0,RRD,21
8.29404964,0,0,0,23,529,1,1,RRD,38
8.699514748,0,0,0,4,16,0,1,RRD,22
8.699514748,1,1,1,9,81,0,1,RRD,33
8.699514748,0,0,0,29,841,1,1,RRD,47
9.210340372,0,1,0,25,625,0,1,RRD,45
9.210340372,0,1,0,26,676,0,1,RRD,46
9.903487553,0,1,0,30,900,0,1,RRD,50
8.594154233,1,1,1,11,121,0,1,RRD,35
8.594154233,0,1,0,14,196,0,1,RRD,35
8.612503371,1,1,1,12,144,1,1,RRD,34
8.779557456,1,1,1,7,49,0,1,RRD,29
8.517193191,1,0,0,7,49,1,1,RRD,29
8.699514748,0,0,0,41,1681,1,1,RRD,56
8.853665428,1,0,0,5,25,1,1,RRD,27
8.699514748,0,0,0,12,144,1,1,RRD,30
8.699514748,0,0,0,13,169,1,1,RRD,31
8.517193191,0,0,0,6,36,0,1,RRD,27
8.853665428,1,1,1,3,9,1,1,RRD,25
8.476371197,1,1,1,7,49,1,1,RRD,29
7.824046011,0,0,0,10,100,0,1,RRD,28
7.824046011,0,0,0,10,100,0,1,RRD,28
8.29404964,0,0,0,25,625,1,0,RRD,40
8.29404964,0,0,0,22,484,1,0,RRD,37
8.006367568,0,0,0,23,529,1,0,RRD,38
8.29404964,0,0,0,33,1089,0,0,RRD,48
8.29404964,0,0,0,33,1089,0,0,RRD,48
8.29404964,0,0,0,25,625,1,0,RRD,40
8.517193191,0,0,0,43,1849,0,1,RRD,54
8.29404964,0,0,0,37,1369,1,0,RRD,48
8.29404964,0,0,0,20,400,1,0,RRD,35
8.517193191,0,0,0,29,841,0,0,RRD,44
8.006367568,0,0,0,25,625,1,0,NMM,40
8.006367568,0,0,0,33,1089,1,0,NMM,51
8.29404964,0,0,0,8,64,1,1,NMM,26
8.160518247,0,0,0,6,36,0,0,NMM,24
8.29404964,0,0,0,9,81,1,0,NMM,30
8.517193191,0,0,0,12,144,1,1,NMM,30
7.824046011,0,0,0,25,625,1,1,NMM,36
7.824046011,0,0,0,35,1225,1,1,NMM,46
8.29404964,0,0,0,24,576,1,0,NMM,39
6.907755279,0,0,0,35,1225,0,0,NMM,46
6.396929655,0,0,0,39,1521,0,0,NMM,54
8.342839804,0,1,0,36,1296,0,1,NMM,54
8.29404964,0,0,0,12,144,0,0,NMM,23
8.268731832,0,0,0,24,576,0,0,NMM,35
8.517193191,0,0,0,19,361,0,1,NMM,34
8.411832676,0,0,0,12,144,0,1,NMM,30
8.732304571,0,0,0,5,25,0,1,NMM,23
7.60090246,0,0,0,14,196,0,1,NMM,32
7.170119543,0,0,0,19,361,1,0,NMM,30
6.791221463,0,0,0,10,100,1,0,NMM,21
8.29404964,0,0,0,44,1936,1,0,NMM,62
8.987196821,0,0,0,9,81,0,0,NMM,27
8.160518247,1,0,0,10,100,1,1,NMM,32
8.411832676,0,0,0,17,289,0,1,NMM,35
8.160518247,0,0,0,14,196,0,0,NMM,32
8.160518247,0,0,0,10,100,1,0,NMM,30
8.242756346,0,0,0,35,1225,0,0,NMM,50
8.29404964,0,0,0,9,81,0,0,NMM,27
6.966024187,0,0,0,47,2209,0,1,NMM,67
8.29404964,0,0,0,5,25,1,0,NMM,25
8.517193191,0,0,0,18,324,1,1,NMM,36
8.29404964,1,0,0,1,1,1,1,NMM,23
8.853665428,0,0,0,9,81,0,1,NMM,30
9.159047078,1,1,1,36,1296,0,1,NMM,58
7.575584652,0,0,0,48,2304,1,1,NMM,68
8.517193191,0,0,0,36,1296,0,1,NMM,51
8.517193191,0,0,0,17,289,1,1,NMM,37
8.987196821,1,1,1,22,484,0,1,NMM,44
9.392661929,0,1,0,17,289,0,1,NMM,37
9.210340372,1,1,1,25,625,0,1,NMM,47
9.104979856,1,1,1,22,484,1,1,NMM,44
8.594154233,0,0,0,27,729,1,1,NMM,45
8.517193191,0,0,0,15,225,0,1,NMM,33
8.517193191,0,0,0,15,225,0,1,NMM,33
8.29404964,0,0,0,13,169,0,0,NMM,33
9.210340372,0,1,0,35,1225,0,1,NMM,53
9.011889433,1,1,1,27,729,1,1,NMM,49
8.29404964,1,0,0,8,64,0,0,NMM,30
8.517193191,0,1,0,2,4,1,1,NMM,22
8.160518247,0,1,0,2,4,1,1,NMM,23
7.495541944,0,0,0,42,1764,1,1,NMM,62
7.549609165,0,0,0,42,1764,1,1,NMM,62
8.411832676,0,0,0,35,1225,0,0,NMM,53
8.29404964,0,0,0,30,900,1,0,NMM,48
8.411832676,0,0,0,9,81,0,0,NMM,27
7.003065459,0,0,0,49,2401,0,1,NMM,64
7.090076836,0,0,0,46,2116,0,1,NMM,64
8.188689124,0,0,0,30,900,0,0,NMM,45
8.476371197,0,0,0,30,900,0,0,NMM,45
8.699514748,0,0,0,30,900,0,1,NMM,45
8.699514748,0,0,0,24,576,1,1,NMM,39
8.5754621,0,0,0,31,961,1,1,NMM,51
8.03915739,0,0,0,46,2116,1,0,NMM,55
8.160518247,0,0,0,14,196,0,0,NMM,29
9.159047078,0,0,0,3,9,0,1,NMM,21
8.006367568,0,0,0,35,1225,0,1,NMM,53
7.824046011,0,0,0,11,121,0,0,NMM,26
8.160518247,0,0,0,16,256,0,0,NMM,31
8.160518247,0,0,0,21,441,0,0,NMM,36
7.313220387,0,0,0,40,1600,0,0,NMM,60
7.189922171,0,0,0,35,1225,1,1,NMM,56
8.042378005,0,0,0,12,144,0,0,NMM,30
8.070906089,0,0,0,10,100,0,0,NMM,21
8.070906089,0,0,0,8,64,0,0,NMM,19
8.188689124,0,0,0,10,100,0,0,NMM,19
8.006367568,0,0,0,28,784,0,0,NMM,37
8.29404964,0,0,0,10,100,0,0,NMM,25
8.29404964,0,0,0,7,49,1,0,NMM,18
8.699514748,0,0,0,25,625,0,0,NMM,34
7.783224016,0,0,0,36,1296,1,0,NMM,45
8.006367568,0,0,0,37,1369,1,0,NMM,46
7.783224016,0,0,0,37,1369,1,0,NMM,52
7.60090246,0,0,0,12,144,1,0,NMM,27
7.824046011,0,0,0,14,196,0,0,NMM,32
7.783224016,0,0,0,16,256,1,0,NMM,31
8.29404964,0,0,0,4,16,0,0,NMM,19
8.006367568,0,1,0,31,961,1,1,NMM,51
7.824046011,0,0,0,31,961,1,1,NMM,51
8.006367568,1,0,0,3,9,0,1,NMM,25
