ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
6.907755279,0,0,0,33,1089,0,1,RRD,42
6.907755279,0,0,0,31,961,0,1,RRD,42
8.853665428,0,0,0,37,1369,1,0,RRD,55
8.517193191,1,0,0,29,841,0,1,RRD,51
8.517193191,1,0,0,30,900,0,1,RRD,52
8.29404964,0,0,0,28,784,1,1,RRD,46
8.29404964,0,0,0,28,784,1,1,RRD,46
8.699514748,0,0,0,26,676,1,1,RRD,41
9.047821442,0,0,0,30,900,0,1,RRD,48
8.987196821,0,1,0,24,576,1,1,RRD,44
8.987196821,0,1,0,24,576,1,1,RRD,45
8.29404964,0,0,0,23,529,1,1,RRD,38
8.699514748,0,0,0,29,841,1,1,RRD,47
9.210340372,0,1,0,25,625,0,1,RRD,45
9.210340372,0,1,0,26,676,0,1,RRD,46
9.903487553,0,1,0,30,900,0,1,RRD,50
8.29404964,0,0,0,25,625,1,0,RRD,40
8.29404964,0,0,0,22,484,1,0,RRD,37
8.006367568,0,0,0,23,529,1,0,RRD,38
8.29404964,0,0,0,33,1089,0,0,RRD,48
8.29404964,0,0,0,33,1089,0,0,RRD,48
8.29404964,0,0,0,25,625,1,0,RRD,40
8.517193191,0,0,0,43,1849,0,1,RRD,54
8.29404964,0,0,0,37,1369,1,0,RRD,48
8.517193191,0,0,0,29,841,0,0,RRD,44
8.006367568,0,0,0,25,625,1,0,NMM,40
8.006367568,0,0,0,33,1089,1,0,NMM,51
7.824046011,0,0,0,25,625,1,1,NMM,36
7.824046011,0,0,0,35,1225,1,1,NMM,46
8.29404964,0,0,0,24,576,1,0,NMM,39
6.907755279,0,0,0,35,1225,0,0,NMM,46
6.396929655,0,0,0,39,1521,0,0,NMM,54
8.342839804,0,1,0,36,1296,0,1,NMM,54
8.242756346,0,0,0,35,1225,0,0,NMM,50
8.517193191,0,0,0,18,324,1,1,NMM,36
8.517193191,0,0,0,36,1296,0,1,NMM,51
8.517193191,0,0,0,17,289,1,1,NMM,37
8.987196821,1,1,1,22,484,0,1,NMM,44
9.392661929,0,1,0,17,289,0,1,NMM,37
9.210340372,1,1,1,25,625,0,1,NMM,47
9.104979856,1,1,1,22,484,1,1,NMM,44
8.594154233,0,0,0,27,729,1,1,NMM,45
9.210340372,0,1,0,35,1225,0,1,NMM,53
9.011889433,1,1,1,27,729,1,1,NMM,49
8.411832676,0,0,0,35,1225,0,0,NMM,53
8.29404964,0,0,0,30,900,1,0,NMM,48
8.188689124,0,0,0,30,900,0,0,NMM,45
8.476371197,0,0,0,30,900,0,0,NMM,45
8.699514748,0,0,0,30,900,0,1,NMM,45
8.699514748,0,0,0,24,576,1,1,NMM,39
8.5754621,0,0,0,31,961,1,1,NMM,51
8.03915739,0,0,0,46,2116,1,0,NMM,55
8.006367568,0,0,0,35,1225,0,1,NMM,53
8.160518247,0,0,0,21,441,0,0,NMM,36
8.006367568,0,0,0,28,784,0,0,NMM,37
7.783224016,0,0,0,36,1296,1,0,NMM,45
8.006367568,0,0,0,37,1369,1,0,NMM,46
7.783224016,0,0,0,37,1369,1,0,NMM,52
8.006367568,0,1,0,31,961,1,1,NMM,51
7.824046011,0,0,0,31,961,1,1,NMM,51
8.853665428,0,0,0,32,1024,1,0,NMM,47
8.006367568,0,0,0,25,625,1,0,NMM,36
7.824046011,0,0,0,44,1936,1,0,NMM,50
8.006367568,0,0,0,31,961,0,0,NMM,40
6.802394763,0,0,0,30,900,0,0,NMM,36
8.517193191,0,1,0,27,729,0,1,NMM,47
7.937374696,0,0,0,34,1156,0,1,NMM,52
7.937374696,0,0,0,34,1156,0,1,NMM,52
8.612503371,0,0,0,30,900,1,1,NMM,45
9.104979856,1,1,1,32,1024,0,1,NMM,54
8.160518247,0,0,0,27,729,1,0,NMM,36
8.411832676,0,0,0,33,1089,1,0,RRD,48
7.696212639,0,0,0,36,1296,0,0,RRD,51
7.863266724,0,0,0,38,1444,0,0,RRD,53
7.824046011,0,0,0,28,784,0,0,RRD,43
7.60090246,0,0,0,27,729,1,0,RRD,42
7.60090246,0,0,0,28,784,0,0,RRD,37
8.29404964,0,0,0,30,900,0,0,RRD,41
8.006367568,0,0,0,31,961,0,0,RRD,42
8.29404964,0,0,0,30,900,0,0,RRD,39
8.29404964,0,0,0,27,729,0,0,RRD,38
8.29404964,0,0,0,34,1156,0,0,RRD,43
8.006367568,0,0,0,22,484,1,0,RRD,37
8.160518247,0,0,0,27,729,0,0,RRD,38
8.101677747,0,0,0,39,1521,1,1,NMM,54
8.101677747,0,0,0,39,1521,1,1,NMM,54
8.517193191,0,0,0,29,841,1,0,NMM,47
8.517193191,0,0,0,30,900,1,0,NMM,48
8.699514748,0,0,0,35,1225,1,1,NMM,50
8.699514748,0,0,0,35,1225,1,1,NMM,50
8.665613197,0,0,0,28,784,0,0,NMM,43
8.006367568,0,0,0,37,1369,1,0,NMM,52
8.612503371,0,0,0,30,900,0,0,NMM,48
8.517193191,0,0,0,26,676,1,0,NMM,44
8.160518247,0,0,0,34,1156,1,0,NMM,49
8.070906089,0,0,0,23,529,1,0,NMM,38
8.411832676,0,0,0,26,676,1,1,NMM,44
8.188689124,0,0,0,27,729,1,0,NMM,45
8.342839804,0,0,0,31,961,1,0,NMM,46
8.699514748,0,0,0,31,961,1,1,NMM,46
8.29404964,0,0,0,24,576,0,1,NMM,42
8.006367568,0,0,0,18,324,1,1,NMM,36
8.160518247,0,0,0,19,361,1,0,NMM,37
8.242756346,0,0,0,19,361,1,0,NMM,37
8.03915739,0,0,0,23,529,1,0,NMM,38
7.937374696,0,0,0,30,900,1,0,NMM,41
8.366370302,0,0,0,20,400,1,1,NMM,38
7.60090246,1,0,0,29,841,1,1,NMM,51
8.342839804,0,0,0,19,361,0,0,NMM,39
8.517193191,0,0,0,38,1444,0,0,NMM,49
8.517193191,0,0,0,21,441,0,0,NMM,39
8.699514748,0,0,0,28,784,1,1,NMM,48
8.29404964,0,0,0,33,1089,0,0,NMM,42
8.006367568,0,0,0,39,1521,0,0,NMM,54
8.006367568,0,0,0,39,1521,1,0,NMM,54
8.517193191,0,0,0,32,1024,0,1,NMM,43
8.29404964,0,0,0,26,676,1,1,NMM,37
8.38935982,0,0,0,32,1024,1,0,NMM,43
8.006367568,0,0,0,31,961,0,0,NMM,42
8.160518247,0,0,0,31,961,0,0,NMM,42
8.006367568,0,0,0,32,1024,0,0,NMM,47
6.253828812,0,0,0,30,900,0,0,NMM,45
8.699514748,0,0,0,37,1369,0,0,NMM,46
8.699514748,0,0,0,22,484,0,0,NMM,37
8.779557456,0,0,0,31,961,1,0,RRD,42
8.71604405,0,0,0,28,784,1,1,RRD,39
8.556413905,0,0,0,30,900,0,1,RRD,45
8.29404964,0,0,0,28,784,1,1,RRD,43
8.242756346,0,0,0,39,1521,1,1,RRD,54
8.242756346,0,0,0,39,1521,1,1,RRD,54
8.366370302,0,0,0,33,1089,1,0,RRD,48
8.29404964,0,0,0,44,1936,1,0,RRD,55
8.342839804,0,0,0,29,841,1,0,RRD,44
7.268920128,1,0,0,30,900,0,1,RRD,52
8.342839804,0,0,0,29,841,1,0,RRD,40
7.43838353,0,0,0,34,1156,0,1,RRD,52
8.665613197,0,0,0,29,841,1,0,RRD,47
7.313220387,0,0,0,37,1369,0,1,RRD,52
7.495541944,0,0,0,22,484,0,0,RRD,37
8.411832676,0,0,0,28,784,0,1,RRD,43
8.612503371,0,0,0,27,729,1,1,RRD,42
8.160518247,0,0,0,27,729,1,0,RRD,42
8.536995819,0,1,0,33,1089,0,1,Coast,53
7.731930722,0,0,0,28,784,1,0,Coast,37
6.956545443,0,0,0,28,784,0,1,Coast,43
7.824046011,0,0,0,30,900,1,0,Coast,45
8.283999304,0,0,0,27,729,1,0,Coast,42
8.517193191,0,0,0,41,1681,0,0,Coast,50
8.556413905,0,0,0,30,900,0,0,Coast,41
8.29404964,0,0,0,35,1225,0,0,Coast,46
8.177515824,0,0,0,37,1369,1,0,Coast,52
8.411832676,0,0,0,36,1296,0,0,Coast,51
8.594154233,0,0,0,30,900,0,0,Coast,45
8.476371197,0,0,0,21,441,1,0,Coast,36
8.160518247,0,0,0,34,1156,0,1,Coast,49
8.006367568,0,0,0,43,1849,1,0,Coast,54
8.160518247,0,0,0,37,1369,0,1,Coast,55
8.160518247,0,0,0,24,576,1,0,Coast,39
8.026170195,0,0,0,27,729,1,0,Coast,42
8.006367568,0,0,0,30,900,1,0,Coast,48
8.160518247,0,0,0,23,529,0,1,Coast,38
8.160518247,0,0,0,32,1024,1,1,Coast,43
9.305650552,0,1,0,17,289,0,1,Coast,37
8.160518247,0,0,0,35,1225,0,1,Coast,46
8.342839804,0,0,0,26,676,0,0,Coast,41
7.313220387,0,0,0,39,1521,0,1,Coast,54
8.455317788,0,0,0,19,361,0,0,Coast,37
8.476371197,0,0,0,31,961,0,0,Coast,40
8.006367568,0,0,0,33,1089,1,0,Coast,42
8.188689124,0,0,0,31,961,1,0,Coast,37
8.29404964,0,0,0,37,1369,0,1,Coast,55
8.342839804,0,0,0,35,1225,0,1,Coast,50
8.699514748,0,0,0,20,400,1,1,Coast,38
8.699514748,0,0,0,29,841,1,1,Coast,44
8.006367568,0,0,0,32,1024,1,1,Coast,43
8.160518247,0,0,0,31,961,1,0,Coast,49
