ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.699514748,0,0,0,12,144,1,1,RRD,33
8.517193191,0,0,0,14,196,0,0,RRD,32
8.517193191,0,0,0,14,196,0,0,RRD,32
8.411832676,0,0,0,8,64,1,1,RRD,26
8.411832676,0,0,0,9,81,1,1,RRD,27
8.411832676,0,0,0,2,4,1,0,RRD,20
8.411832676,0,0,0,3,9,1,0,RRD,21
8.699514748,0,0,0,4,16,0,1,RRD,22
8.699514748,1,1,1,9,81,0,1,RRD,33
8.594154233,1,1,1,11,121,0,1,RRD,35
8.594154233,0,1,0,14,196,0,1,RRD,35
8.612503371,1,1,1,12,144,1,1,RRD,34
8.779557456,1,1,1,7,49,0,1,RRD,29
8.517193191,1,0,0,7,49,1,1,RRD,29
8.853665428,1,0,0,5,25,1,1,RRD,27
8.699514748,0,0,0,12,144,1,1,RRD,30
8.699514748,0,0,0,13,169,1,1,RRD,31
8.517193191,0,0,0,6,36,0,1,RRD,27
8.853665428,1,1,1,3,9,1,1,RRD,25
8.476371197,1,1,1,7,49,1,1,RRD,29
7.824046011,0,0,0,10,100,0,1,RRD,28
7.824046011,0,0,0,10,100,0,1,RRD,28
8.29404964,0,0,0,20,400,1,0,RRD,35
8.29404964,0,0,0,8,64,1,1,NMM,26
8.160518247,0,0,0,6,36,0,0,NMM,24
8.29404964,0,0,0,9,81,1,0,NMM,30
8.517193191,0,0,0,12,144,1,1,NMM,30
8.29404964,0,0,0,12,144,0,0,NMM,23
8.268731832,0,0,0,24,576,0,0,NMM,35
8.517193191,0,0,0,19,361,0,1,NMM,34
8.411832676,0,0,0,12,144,0,1,NMM,30
8.732304571,0,0,0,5,25,0,1,NMM,23
7.60090246,0,0,0,14,196,0,1,NMM,32
7.170119543,0,0,0,19,361,1,0,NMM,30
6.791221463,0,0,0,10,100,1,0,NMM,21
8.987196821,0,0,0,9,81,0,0,NMM,27
8.160518247,1,0,0,10,100,1,1,NMM,32
8.411832676,0,0,0,17,289,0,1,NMM,35
8.160518247,0,0,0,14,196,0,0,NMM,32
8.160518247,0,0,0,10,100,1,0,NMM,30
8.29404964,0,0,0,9,81,0,0,NMM,27
8.29404964,0,0,0,5,25,1,0,NMM,25
8.29404964,1,0,0,1,1,1,1,NMM,23
8.853665428,0,0,0,9,81,0,1,NMM,30
8.517193191,0,0,0,15,225,0,1,NMM,33
8.517193191,0,0,0,15,225,0,1,NMM,33
8.29404964,0,0,0,13,169,0,0,NMM,33
8.29404964,1,0,0,8,64,0,0,NMM,30
8.517193191,0,1,0,2,4,1,1,NMM,22
8.160518247,0,1,0,2,4,1,1,NMM,23
8.411832676,0,0,0,9,81,0,0,NMM,27
8.160518247,0,0,0,14,196,0,0,NMM,29
9.159047078,0,0,0,3,9,0,1,NMM,21
7.824046011,0,0,0,11,121,0,0,NMM,26
8.160518247,0,0,0,16,256,0,0,NMM,31
8.042378005,0,0,0,12,144,0,0,NMM,30
8.070906089,0,0,0,10,100,0,0,NMM,21
8.070906089,0,0,0,8,64,0,0,NMM,19
8.188689124,0,0,0,10,100,0,0,NMM,19
8.29404964,0,0,0,10,100,0,0,NMM,25
8.29404964,0,0,0,7,49,1,0,NMM,18
8.699514748,0,0,0,25,625,0,0,NMM,34
7.60090246,0,0,0,12,144,1,0,NMM,27
7.824046011,0,0,0,14,196,0,0,NMM,32
7.783224016,0,0,0,16,256,1,0,NMM,31
8.29404964,0,0,0,4,16,0,0,NMM,19
8.006367568,1,0,0,3,9,0,1,NMM,25
9.024010794,1,1,1,10,100,0,1,NMM,32
8.517193191,0,0,0,3,9,0,0,NMM,18
8.160518247,0,0,0,2,4,1,0,NMM,17
7.696212639,0,0,0,27,729,0,0,NMM,33
8.006367568,0,0,0,11,121,0,0,NMM,26
7.677863501,0,0,0,11,121,0,0,NMM,26
7.677863501,0,0,0,6,36,0,0,NMM,21
8.006367568,0,0,0,6,36,1,0,NMM,15
7.60090246,0,0,0,12,144,0,0,NMM,23
9.159047078,0,0,0,18,324,1,1,NMM,33
8.411832676,0,0,0,21,441,0,1,NMM,27
8.612503371,0,0,0,9,81,0,1,NMM,27
8.366370302,0,0,0,21,441,1,1,NMM,32
8.455317788,0,0,0,21,441,1,1,NMM,32
9.200290036,0,0,0,9,81,1,1,NMM,27
8.9226583,0,0,0,7,49,0,1,NMM,28
